ISO3,period,probability,era_mwtemp
GHA,1990-2020,1,26.226965840657556
GHA,2021-2100,1,26.226965840657556
GIN,1990-2020,1,25.54541931152346
GIN,2021-2100,1,25.54541931152346
GMB,1990-2020,1,26.712139383951865
GMB,2021-2100,1,26.712139383951865
GNB,1990-2020,1,27.421052551269554
GNB,2021-2100,1,27.421052551269554
GNQ,1990-2020,1,23.392877197265648
GNQ,2021-2100,1,23.392877197265648
GRC,1990-2020,0.89410589410589425,15.76160329182943
GRC,2021-2100,0.933066933066933,15.76160329182943
GTM,1990-2020,1,19.259489949544275
GTM,2021-2100,1,19.259489949544275
GUY,1990-2020,1,25.53687693277999
GUY,2021-2100,1,25.53687693277999
HND,1990-2020,1,22.37726491292318
HND,2021-2100,1,22.37726491292318
HRV,1990-2020,0.12087912087912092,11.852026875813806
HRV,2021-2100,0.18281718281718287,11.852026875813806
HTI,1990-2020,1,24.61940155029299
HTI,2021-2100,1,24.61940155029299
HUN,1990-2020,0.0639360639360639,11.33637644449874
HUN,2021-2100,0.11488511488511488,11.33637644449874
IDN,1990-2020,1,24.864902750651083
IDN,2021-2100,1,24.864902750651083
IND,1990-2020,1,24.730676269531273
IND,2021-2100,1,24.730676269531273
IRL,1990-2020,0.003996003996004005,10.059360758463583
IRL,2021-2100,0.003996003996004005,10.059360758463583
IRN,1990-2020,0.9120879120879122,14.97077331542971
IRN,2021-2100,0.9290709290709291,14.97077331542971
ISL,1990-2020,0,2.527083333333337
ISL,2021-2100,0,2.527083333333337
ISR,1990-2020,1,19.45606384277346
ISR,2021-2100,1,19.45606384277346
ITA,1990-2020,0.42957042957042957,13.278288777669275
ITA,2021-2100,0.5134865134865134,13.278288777669275
JAM,1990-2020,1,24.82978210449221
JAM,2021-2100,1,24.82978210449221
JOR,1990-2020,0.993006993006993,17.64856872558596
JOR,2021-2100,0.9980019980019981,17.64856872558596
JPN,1990-2020,0.5144855144855146,14.231182352701865
JPN,2021-2100,0.5864135864135864,14.231182352701865
KAZ,1990-2020,0,7.496814982096396
KAZ,2021-2100,0,7.496814982096396
KEN,1990-2020,1,19.791246032714866
KEN,2021-2100,1,19.791246032714866
KGZ,1990-2020,0,7.771844482421898
KGZ,2021-2100,0,7.771844482421898
KHM,1990-2020,1,27.558129882812523
KHM,2021-2100,1,27.558129882812523
KOR,1990-2020,0.15684315684315692,12.232659912109398
KOR,2021-2100,0.17182817182817187,12.232659912109398
KWT,1990-2020,1,26.249447123209677
KWT,2021-2100,1,26.249447123209677
LAO,1990-2020,1,23.51251118977865
LAO,2021-2100,1,23.51251118977865
LBN,1990-2020,0.9590409590409591,16.168758646647177
LBN,2021-2100,0.9750249750249751,16.168758646647177
LBR,1990-2020,1,24.99360300699874
LBR,2021-2100,1,24.99360300699874
LKA,1990-2020,1,25.36907094319662
LKA,2021-2100,1,25.36907094319662
LSO,1990-2020,0.17382617382617394,11.707315063476585
LSO,2021-2100,0.2577422577422576,11.707315063476585
LTU,1990-2020,0,8.203897094726585
LTU,2021-2100,0,8.203897094726585
LUX,1990-2020,0.003996003996004003,9.670060729980491
LUX,2021-2100,0.006993006993006995,9.670060729980491
LVA,1990-2020,0,7.908942159016931
LVA,2021-2100,0,7.908942159016931
MAR,1990-2020,0.991008991008991,17.70502624511721
MAR,2021-2100,0.994005994005994,17.70502624511721
