ISO3,period,probability,year,era_mwtemp,era_mwprecip,cru_mwtemp,cru_mwprecip
FLK,2021-2100,0,1990,6.749724324544275,1.909629698881569,5.953097899754842,48.073156674702965
FRA,1990-2020,0.9,1990,11.859440104166708,2.1894016196407997,11.815697213013967,60.376479625701904
FRA,2021-2100,0.92,1990,11.859440104166708,2.1894016196407997,11.815697213013967,60.376479625701904
GAB,1990-2020,0.99,1990,24.329311625162802,6.077890274658178,25.263514041900635,170.92716789245605
GAB,2021-2100,0.99,1990,24.329311625162802,6.077890274658178,25.263514041900635,170.92716789245605
GBR,1990-2020,0.79,1990,10.298666890462243,2.0333214003282287,10.136207580566406,68.83155123392741
GBR,2021-2100,0.77,1990,10.298666890462243,2.0333214003282287,10.136207580566406,68.83155123392741
GEO,1990-2020,0.86,1990,10.238074239095056,3.0618599363757917,7.57005375623703,68.88882637023926
GEO,2021-2100,0.9099999999999999,1990,10.238074239095056,3.0618599363757917,7.57005375623703,68.88882637023926
GHA,1990-2020,0.99,1990,26.226965840657556,3.0367112825236595,27.06300433476766,84.54040455818176
GHA,2021-2100,0.99,1990,26.226965840657556,3.0367112825236595,27.06300433476766,84.54040455818176
GIN,1990-2020,0.99,1990,25.54541931152346,5.128696380779729,25.760096232096355,132.09261414408684
GIN,2021-2100,0.99,1990,25.54541931152346,5.128696380779729,25.760096232096355,132.09261414408684
GMB,1990-2020,0.99,1990,26.712139383951865,1.9236103306449575,27.638916015625,60.72036021379366
GMB,2021-2100,0.99,1990,26.712139383951865,1.9236103306449575,27.638916015625,60.72036021379366
GNB,1990-2020,0.99,1990,27.421052551269554,3.3874205134575655,27.138128916422527,103.50826062231015
GNB,2021-2100,0.99,1990,27.421052551269554,3.3874205134575655,27.138128916422527,103.50826062231015
GNQ,1990-2020,0.99,1990,23.392877197265648,7.929272678059837,24.445773283640545,191.52330780029297
GNQ,2021-2100,0.99,1990,23.392877197265648,7.929272678059837,24.445773283640545,191.52330780029297
GRC,1990-2020,0.98,1990,15.76160329182943,1.241352416400332,14.081609010696411,41.435296495755516
GRC,2021-2100,0.98,1990,15.76160329182943,1.241352416400332,14.081609010696411,41.435296495755516
